state_code	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04	2023-02-11	2023-02-18	2023-02-25	2023-03-04	2023-03-11	2023-03-18	2023-03-25	2023-04-01	2023-04-08	2023-04-15	2023-04-22	2023-04-29	2023-05-06	2023-05-13	2023-05-20	2023-05-27	2023-06-03	2023-06-10	2023-06-17	2023-06-24	2023-07-01	2023-07-08	2023-07-15	2023-07-22	2023-07-29	2023-08-05	2023-08-12	2023-08-19	2023-08-26	2023-09-02	2023-09-09	2023-09-16	2023-09-23	2023-09-30	2023-10-07	2023-10-14	2023-10-21	2023-10-28	2023-11-04	2023-11-11	2023-11-18	2023-11-25	2023-12-02	2023-12-09
AC	42	48	61	49	41	40	28	34	55	26	35	40	24	38	25	40	43	46	33	25	45	29	35	36	42	39	31	24	20	21	18	10	11	15	11	12	13	26	21	18	22	32	25	37	30	28	36	52	36	56	58	71	86	97	113	147	196	243	214	196	316	330	389	347	504	415	683	521	410	391	308	146	101	66	75	75	57	56	49	54	46	32	42	45	36	45	59	44	79	76	82	99	105	167	217	289	387	397	389	337	4
AL	26	33	29	29	37	31	33	28	43	37	45	57	100	189	221	292	371	525	584	696	842	1049	865	877	1016	796	944	789	634	471	637	567	493	402	312	264	252	205	148	129	104	87	48	61	50	16	16	20	17	14	4	12	19	25	23	13	23	15	21	20	28	44	59	48	71	106	91	82	75	98	80	54	66	70	87	106	75	71	45	28	44	30	23	16	13	13	15	5	11	8	13	8	19	15	9	6	14	6	8	10	1
AM	52	44	39	50	47	55	64	48	64	58	62	70	105	61	51	57	57	68	66	62	55	66	43	36	35	28	31	25	31	24	25	26	30	16	18	27	23	27	26	31	17	23	35	40	43	22	24	21	15	12	45	24	38	35	26	28	27	39	38	25	65	79	83	75	65	64	53	69	76	72	77	87	69	52	63	51	55	55	70	72	78	85	77	68	74	57	70	70	72	66	53	56	24	20	18	12	12	15	8	10	3
AP	11	16	11	6	7	17	16	14	14	16	15	7	19	11	7	15	12	10	7	17	16	12	19	13	12	17	11	12	16	14	21	18	11	8	8	11	15	12	14	17	14	19	12	18	14	14	14	13	23	14	20	41	42	39	39	45	59	46	34	52	60	43	39	39	46	28	44	23	39	21	17	17	20	32	24	28	39	27	30	24	31	22	29	36	32	41	44	44	26	36	26	19	16	9	3	4	12	7	0	0	0
BA	17	14	6	9	10	15	24	14	13	20	22	33	31	38	40	48	84	88	63	69	72	71	55	54	59	60	82	83	101	82	112	122	97	104	63	69	65	66	69	81	75	76	58	57	80	42	52	31	31	54	47	56	126	138	125	149	205	218	173	152	208	213	236	198	256	255	336	343	395	501	525	544	574	606	593	663	625	679	669	774	646	468	489	410	342	293	275	195	174	191	144	186	155	140	138	119	138	111	101	72	14
CE	210	242	169	115	138	187	298	322	439	490	687	780	989	1320	1501	1803	1776	2269	2604	2620	1754	2293	2289	1849	1710	1538	938	747	816	735	859	605	568	473	442	451	398	360	260	297	192	204	160	159	200	254	176	173	118	102	98	140	260	184	254	269	260	304	346	503	708	757	778	728	581	412	456	436	376	442	394	314	386	355	329	306	295	246	311	289	234	198	224	190	179	217	198	207	168	168	145	173	138	135	115	114	100	68	84	44	8
DF	977	1008	1149	1383	1524	1787	1721	1869	2264	2708	3060	3726	4199	4321	4254	5023	4578	3859	3497	3489	2557	2325	1950	1596	1455	1162	810	689	581	576	515	564	619	571	625	639	671	627	701	613	649	698	592	510	559	688	775	889	1050	1003	889	802	995	975	1155	986	1205	1309	1148	1153	1169	1292	1250	1478	1452	1263	1522	1386	1246	1385	1224	1248	950	941	862	888	721	584	617	630	547	481	556	481	543	499	536	558	640	538	496	497	372	482	362	445	538	577	714	559	243
ES	41	48	35	24	20	25	23	27	33	38	61	42	51	58	57	65	89	91	114	60	74	67	76	49	56	50	43	61	43	43	38	37	28	17	23	14	23	27	36	27	23	32	41	50	53	46	40	50	53	81	91	146	293	334	487	537	748	780	806	769	1014	1050	1064	1156	1171	915	898	793	778	782	814	658	521	518	440	434	412	327	264	259	170	168	186	166	130	129	113	110	118	133	139	151	119	134	141	129	144	144	137	116	47
GO	1667	1776	2206	2595	2948	2990	2658	2335	2998	2835	2902	3080	2809	2784	2317	2334	2334	2056	1960	1144	1115	895	732	622	846	702	772	746	909	797	882	859	631	605	599	478	483	617	549	426	483	382	281	324	413	465	398	390	443	401	292	358	651	658	733	710	811	737	707	658	814	933	1022	1188	1085	733	928	855	869	767	727	705	517	435	290	388	320	243	239	256	217	202	234	248	261	274	298	278	341	314	278	289	215	250	227	261	296	242	275	128	31
MA	9	1	6	7	7	14	20	26	21	25	32	28	54	53	39	69	95	92	99	133	157	169	154	132	134	131	165	170	130	116	111	120	149	127	98	96	98	87	55	84	55	69	33	41	53	45	29	22	22	21	17	25	35	26	26	32	33	50	45	84	108	142	141	101	64	74	89	114	94	144	76	70	60	66	65	73	82	83	75	71	53	57	45	30	47	20	28	22	24	22	12	17	18	18	12	11	9	5	12	1	0
