state_code	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04	2023-02-11	2023-02-18	2023-02-25	2023-03-04	2023-03-11	2023-03-18	2023-03-25	2023-04-01	2023-04-08	2023-04-15	2023-04-22	2023-04-29	2023-05-06	2023-05-13	2023-05-20	2023-05-27	2023-06-03	2023-06-10	2023-06-17	2023-06-24	2023-07-01	2023-07-08	2023-07-15	2023-07-22	2023-07-29	2023-08-05	2023-08-12	2023-08-19	2023-08-26	2023-09-02	2023-09-09	2023-09-16	2023-09-23	2023-09-30	2023-10-07	2023-10-14	2023-10-21	2023-10-28	2023-11-04	2023-11-11	2023-11-18	2023-11-25	2023-12-02	2023-12-09
AC	42.0	48.0	61.0	49.0	41.0	40.0	28.0	34.0	55.0	26.0	35.0	40.0	24.0	38.0	25.0	40.0	43.0	46.0	33.0	25.0	45.0	29.0	35.0	36.0	42.0	39.0	31.0	24.0	20.0	21.0	18.0	10.0	11.0	15.0	11.0	12.0	13.0	26.0	21.0	18.0	22.0	32.0	25.0	37.0	30.0	28.0	36.0	52.0	36.0	56.0	58.0	71.0	90.0	98.0	113.0	147.0	198.0	244.0	218.0	198.0	320.0	330.0	390.0	350.0	506.0	415.0	683.0	521.0	410.0	391.0	308.0	147.0	102.0	66.0	75.0	76.0	57.0	58.0	49.0	54.0	47.0	33.0	42.0	46.0	36.0	45.0	61.0	44.0	79.0	76.0	82.0	99.0	105.0	167.0	217.0	288.0	387.0	384.0	321.0	192.0	392.5
AL	26.0	33.0	29.0	29.0	37.0	31.0	33.0	28.0	43.0	37.0	45.0	57.0	100.0	189.0	221.0	292.0	371.0	525.0	584.0	696.0	842.0	1049.0	865.0	877.0	1016.0	796.0	944.0	789.0	634.0	471.0	637.0	567.0	493.0	402.0	312.0	264.0	252.0	205.0	148.0	129.0	104.0	87.0	48.0	61.0	50.0	16.0	16.0	20.0	18.0	16.0	11.0	19.0	19.0	25.0	24.0	13.0	24.0	15.0	21.0	20.0	29.0	45.0	59.0	52.0	74.0	107.0	91.0	83.0	75.0	98.0	82.0	54.0	66.0	70.0	87.0	106.0	74.0	71.0	43.0	20.0	28.0	21.0	14.0	16.0	13.0	13.0	15.0	5.0	12.0	8.0	13.0	8.0	14.0	8.0	11.0	8.0	17.0	9.0	6.0	5.0	7.0
AM	52.0	44.0	39.0	50.0	47.0	55.0	64.0	48.0	64.0	58.0	62.0	70.0	105.0	61.0	51.0	57.0	57.0	68.0	66.0	62.0	55.0	66.0	43.0	36.0	35.0	28.0	31.0	25.0	31.0	24.0	25.0	26.0	30.0	16.0	18.0	27.0	23.0	27.0	26.0	31.0	17.0	23.0	35.0	40.0	43.0	22.0	24.0	21.0	15.0	12.0	45.0	24.0	41.0	35.0	27.0	28.0	29.0	39.0	40.0	26.0	66.0	79.0	85.0	75.0	66.0	66.0	55.0	71.0	76.0	73.0	77.0	89.0	69.0	53.0	63.0	52.0	56.0	55.0	74.0	72.0	78.0	85.0	77.0	69.0	74.0	57.0	71.0	71.0	73.0	66.0	53.0	58.0	24.0	20.0	19.0	12.0	12.0	14.0	8.0	0.0	0.0
AP	11.0	16.0	11.0	6.0	7.0	17.0	16.0	14.0	14.0	16.0	15.0	7.0	19.0	11.0	7.0	15.0	12.0	10.0	7.0	17.0	16.0	12.0	19.0	13.0	12.0	17.0	11.0	12.0	16.0	14.0	21.0	18.0	11.0	8.0	8.0	11.0	15.0	12.0	14.0	17.0	14.0	19.0	12.0	18.0	14.0	14.0	14.0	13.0	24.0	14.0	21.0	42.0	43.0	39.0	40.0	48.0	62.0	46.0	36.0	53.0	60.0	46.0	42.0	40.0	48.0	29.0	44.0	24.0	42.0	26.0	19.0	20.0	21.0	34.0	26.0	28.0	39.0	27.0	30.0	24.0	31.0	22.0	30.0	36.0	35.0	41.0	44.0	44.0	25.0	35.0	26.0	19.0	16.0	9.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0
BA	17.0	14.0	6.0	9.0	10.0	15.0	24.0	14.0	13.0	20.0	22.0	33.0	31.0	38.0	40.0	48.0	84.0	88.0	63.0	69.0	72.0	71.0	55.0	54.0	59.0	60.0	82.0	83.0	101.0	82.0	112.0	122.0	97.0	104.0	63.0	69.0	65.0	66.0	69.0	81.0	75.0	76.0	58.0	57.0	80.0	42.0	52.0	31.0	34.0	58.0	50.0	59.0	135.0	142.0	128.0	159.0	212.0	225.0	184.0	163.0	228.0	226.0	243.0	210.0	262.0	260.0	341.0	348.0	417.0	548.0	569.0	605.0	643.0	676.0	655.0	741.0	685.0	746.0	739.0	813.0	693.0	506.0	534.0	426.0	346.0	283.0	279.0	202.0	179.0	193.0	144.0	186.0	157.0	143.0	143.0	127.0	150.0	125.0	117.0	75.0	70.0
CE	210.0	242.0	169.0	115.0	138.0	187.0	298.0	322.0	439.0	490.0	687.0	780.0	989.0	1320.0	1501.0	1803.0	1776.0	2269.0	2604.0	2620.0	1754.0	2293.0	2289.0	1849.0	1710.0	1538.0	938.0	747.0	816.0	735.0	859.0	605.0	568.0	473.0	442.0	451.0	398.0	360.0	260.0	297.0	192.0	204.0	160.0	159.0	200.0	254.0	176.0	173.0	118.0	103.0	99.0	140.0	262.0	187.0	255.0	268.0	264.0	311.0	350.0	506.0	712.0	760.0	783.0	730.0	583.0	414.0	467.0	458.0	391.0	447.0	416.0	332.0	386.0	361.0	344.0	316.0	309.0	252.0	313.0	302.0	244.0	203.0	230.0	189.0	179.0	216.0	200.0	208.0	168.0	169.0	144.0	171.0	140.0	138.0	117.0	87.0	82.0	56.0	63.0	37.5	29.0
DF	977.0	1008.0	1149.0	1383.0	1524.0	1787.0	1721.0	1869.0	2264.0	2708.0	3060.0	3726.0	4199.0	4321.0	4254.0	5023.0	4578.0	3859.0	3497.0	3489.0	2557.0	2325.0	1950.0	1596.0	1455.0	1162.0	810.0	689.0	581.0	576.0	515.0	564.0	619.0	571.0	625.0	639.0	671.0	627.0	701.0	613.0	649.0	698.0	592.0	510.0	559.0	688.0	775.0	889.0	1079.0	1020.0	900.0	821.0	1012.0	999.0	1183.0	1003.0	1236.0	1343.0	1173.0	1203.0	1203.0	1329.0	1295.0	1524.0	1503.0	1300.0	1559.0	1408.0	1273.0	1422.0	1245.0	1255.0	954.0	956.0	874.0	917.0	759.0	613.0	649.0	667.0	560.0	485.0	567.0	487.0	546.0	501.0	541.0	562.0	647.0	543.0	494.0	493.0	373.0	476.0	364.0	444.0	527.0	529.5	439.0	121.0	357.5
ES	41.0	48.0	35.0	24.0	20.0	25.0	23.0	27.0	33.0	38.0	61.0	42.0	51.0	58.0	57.0	65.0	89.0	91.0	114.0	60.0	74.0	67.0	76.0	49.0	56.0	50.0	43.0	61.0	43.0	43.0	38.0	37.0	28.0	17.0	23.0	14.0	23.0	27.0	36.0	27.0	23.0	32.0	41.0	50.0	53.0	46.0	40.0	50.0	55.0	82.0	92.0	147.0	295.0	334.0	487.0	540.0	755.0	799.0	819.0	787.0	1021.0	1061.0	1071.0	1159.0	1177.0	944.0	926.0	830.0	787.0	786.0	824.0	683.0	541.0	541.0	475.0	459.0	427.0	338.0	282.0	266.0	186.0	175.0	193.0	167.0	131.0	132.0	116.0	111.0	118.0	135.0	139.0	151.0	119.0	134.0	141.0	129.0	144.0	145.0	136.0	75.0	29.0
GO	1667.0	1776.0	2206.0	2595.0	2948.0	2990.0	2658.0	2335.0	2998.0	2835.0	2902.0	3080.0	2809.0	2784.0	2317.0	2334.0	2334.0	2056.0	1960.0	1144.0	1115.0	895.0	732.0	622.0	846.0	702.0	772.0	746.0	909.0	797.0	882.0	859.0	631.0	605.0	599.0	478.0	483.0	617.0	549.0	426.0	483.0	382.0	281.0	324.0	413.0	465.0	398.0	390.0	449.0	416.0	297.0	370.0	663.0	672.0	754.0	725.0	827.0	750.0	724.0	678.0	842.0	946.0	1031.0	1201.0	1159.0	802.0	961.0	868.0	884.0	777.0	735.0	711.0	522.0	439.0	293.0	395.0	321.0	254.0	243.0	261.0	222.0	207.0	239.0	255.0	265.0	279.0	300.0	281.0	343.0	300.0	260.0	278.0	224.0	272.0	263.0	267.0	290.0	242.0	280.0	218.0	199.0
MA	9.0	1.0	6.0	7.0	7.0	14.0	20.0	26.0	21.0	25.0	32.0	28.0	54.0	53.0	39.0	69.0	95.0	92.0	99.0	133.0	157.0	169.0	154.0	132.0	134.0	131.0	165.0	170.0	130.0	116.0	111.0	120.0	149.0	127.0	98.0	96.0	98.0	87.0	55.0	84.0	55.0	69.0	33.0	41.0	53.0	45.0	29.0	22.0	23.0	22.0	17.0	25.0	37.0	29.0	29.0	33.0	40.0	50.0	45.0	84.0	109.0	145.0	141.0	102.0	66.0	78.0	90.0	116.0	97.0	145.0	79.0	72.0	60.0	67.0	65.0	73.0	85.0	83.0	79.0	73.0	55.0	59.0	45.0	30.0	47.0	21.0	28.0	22.0	24.0	22.0	11.0	16.0	18.0	18.0	12.0	11.0	7.0	7.0	12.0	6.0	6.0
