data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,state_code,state,region,data_fimSE
2023-11-05,202345,359.0,99,1291.0,5,AC,Acre,Norte,2023-11-11
2023-10-29,202344,325.0,202,753.0,169,AC,Acre,Norte,2023-11-04
2023-10-22,202343,249.0,219,340.0,210,AC,Acre,Norte,2023-10-28
2023-10-15,202342,174.0,166,197.0,167,AC,Acre,Norte,2023-10-21
2023-10-08,202341,108.0,105,115.0,108,AC,Acre,Norte,2023-10-14
2023-10-01,202340,100.0,99,103.0,101,AC,Acre,Norte,2023-10-07
2023-09-24,202339,82.0,82,84.0,82,AC,Acre,Norte,2023-09-30
2023-09-17,202338,76.0,76,77.0,76,AC,Acre,Norte,2023-09-23
2023-09-10,202337,79.0,79,80.0,79,AC,Acre,Norte,2023-09-16
2023-09-03,202336,44.0,44,44.0,44,AC,Acre,Norte,2023-09-09
2023-08-27,202335,59.0,59,59.0,61,AC,Acre,Norte,2023-09-02
2023-08-20,202334,46.0,46,46.0,46,AC,Acre,Norte,2023-08-26
2023-08-13,202333,36.0,36,36.0,36,AC,Acre,Norte,2023-08-19
2023-08-06,202332,46.0,46,46.0,46,AC,Acre,Norte,2023-08-12
2023-07-30,202331,42.0,42,42.0,42,AC,Acre,Norte,2023-08-05
2023-07-23,202330,33.0,33,33.0,33,AC,Acre,Norte,2023-07-29
2023-07-16,202329,47.0,47,47.0,47,AC,Acre,Norte,2023-07-22
2023-07-09,202328,55.0,55,55.0,55,AC,Acre,Norte,2023-07-15
2023-07-02,202327,49.0,49,49.0,49,AC,Acre,Norte,2023-07-08
2023-06-25,202326,57.0,57,57.0,57,AC,Acre,Norte,2023-07-01
2023-06-18,202325,58.0,58,58.0,58,AC,Acre,Norte,2023-06-24
2023-06-11,202324,75.0,75,75.0,75,AC,Acre,Norte,2023-06-17
2023-06-04,202323,75.0,75,75.0,75,AC,Acre,Norte,2023-06-10
2023-05-28,202322,66.0,66,66.0,66,AC,Acre,Norte,2023-06-03
2023-05-21,202321,102.0,102,102.0,102,AC,Acre,Norte,2023-05-27
2023-05-14,202320,146.0,146,146.0,146,AC,Acre,Norte,2023-05-20
2023-05-07,202319,308.0,308,308.0,308,AC,Acre,Norte,2023-05-13
2023-04-30,202318,393.0,393,393.0,393,AC,Acre,Norte,2023-05-06
2023-04-23,202317,411.0,411,411.0,411,AC,Acre,Norte,2023-04-29
2023-04-16,202316,522.0,522,522.0,522,AC,Acre,Norte,2023-04-22
2023-04-09,202315,684.0,684,684.0,684,AC,Acre,Norte,2023-04-15
2023-04-02,202314,415.0,415,415.0,415,AC,Acre,Norte,2023-04-08
2023-03-26,202313,508.0,508,508.0,508,AC,Acre,Norte,2023-04-01
2023-03-19,202312,349.0,349,349.0,349,AC,Acre,Norte,2023-03-25
2023-03-12,202311,390.0,390,390.0,390,AC,Acre,Norte,2023-03-18
2023-03-05,202310,330.0,330,330.0,330,AC,Acre,Norte,2023-03-11
2023-02-26,202309,318.0,318,318.0,318,AC,Acre,Norte,2023-03-04
2023-02-19,202308,197.0,197,197.0,197,AC,Acre,Norte,2023-02-25
2023-02-12,202307,217.0,217,217.0,217,AC,Acre,Norte,2023-02-18
2023-02-05,202306,244.0,244,244.0,244,AC,Acre,Norte,2023-02-11
2023-01-29,202305,196.0,196,196.0,196,AC,Acre,Norte,2023-02-04
2023-01-22,202304,147.0,147,147.0,147,AC,Acre,Norte,2023-01-28
2023-01-15,202303,113.0,113,113.0,113,AC,Acre,Norte,2023-01-21
2023-01-08,202302,98.0,98,98.0,98,AC,Acre,Norte,2023-01-14
2023-01-01,202301,89.0,89,89.0,89,AC,Acre,Norte,2023-01-07
2022-12-25,202252,71.0,71,71.0,71,AC,Acre,Norte,2022-12-31
2022-12-18,202251,58.0,58,58.0,58,AC,Acre,Norte,2022-12-24
2022-12-11,202250,56.0,56,56.0,56,AC,Acre,Norte,2022-12-17
2022-12-04,202249,37.0,37,37.0,37,AC,Acre,Norte,2022-12-10
2022-11-27,202248,52.0,52,52.0,52,AC,Acre,Norte,2022-12-03
2022-11-20,202247,36.0,36,36.0,36,AC,Acre,Norte,2022-11-26
2022-11-13,202246,28.0,28,28.0,28,AC,Acre,Norte,2022-11-19
2022-11-06,202245,30.0,30,30.0,30,AC,Acre,Norte,2022-11-12
2022-10-30,202244,37.0,37,37.0,37,AC,Acre,Norte,2022-11-05
2022-10-23,202243,25.0,25,25.0,25,AC,Acre,Norte,2022-10-29
2022-10-16,202242,32.0,32,32.0,32,AC,Acre,Norte,2022-10-22
2022-10-09,202241,22.0,22,22.0,22,AC,Acre,Norte,2022-10-15
2022-10-02,202240,18.0,18,18.0,18,AC,Acre,Norte,2022-10-08
2022-09-25,202239,21.0,21,21.0,21,AC,Acre,Norte,2022-10-01
2022-09-18,202238,26.0,26,26.0,26,AC,Acre,Norte,2022-09-24
2022-09-11,202237,13.0,13,13.0,13,AC,Acre,Norte,2022-09-17
2022-09-04,202236,12.0,12,12.0,12,AC,Acre,Norte,2022-09-10
2022-08-28,202235,11.0,11,11.0,11,AC,Acre,Norte,2022-09-03
2022-08-21,202234,15.0,15,15.0,15,AC,Acre,Norte,2022-08-27
2022-08-14,202233,11.0,11,11.0,11,AC,Acre,Norte,2022-08-20
2022-08-07,202232,10.0,10,10.0,10,AC,Acre,Norte,2022-08-13
2022-07-31,202231,18.0,18,18.0,18,AC,Acre,Norte,2022-08-06
2022-07-24,202230,21.0,21,21.0,21,AC,Acre,Norte,2022-07-30
2022-07-17,202229,20.0,20,20.0,20,AC,Acre,Norte,2022-07-23
2022-07-10,202228,24.0,24,24.0,24,AC,Acre,Norte,2022-07-16
2022-07-03,202227,31.0,31,31.0,31,AC,Acre,Norte,2022-07-09
2022-06-26,202226,39.0,39,39.0,39,AC,Acre,Norte,2022-07-02
2022-06-19,202225,42.0,42,42.0,42,AC,Acre,Norte,2022-06-25
2022-06-12,202224,36.0,36,36.0,36,AC,Acre,Norte,2022-06-18
2022-06-05,202223,35.0,35,35.0,35,AC,Acre,Norte,2022-06-11
2022-05-29,202222,29.0,29,29.0,29,AC,Acre,Norte,2022-06-04
2022-05-22,202221,45.0,45,45.0,45,AC,Acre,Norte,2022-05-28
2022-05-15,202220,25.0,25,25.0,25,AC,Acre,Norte,2022-05-21
2022-05-08,202219,33.0,33,33.0,33,AC,Acre,Norte,2022-05-14
2022-05-01,202218,46.0,46,46.0,46,AC,Acre,Norte,2022-05-07
2022-04-24,202217,43.0,43,43.0,43,AC,Acre,Norte,2022-04-30
2022-04-17,202216,40.0,40,40.0,40,AC,Acre,Norte,2022-04-23
2022-04-10,202215,25.0,25,25.0,25,AC,Acre,Norte,2022-04-16
2022-04-03,202214,38.0,38,38.0,38,AC,Acre,Norte,2022-04-09
2022-03-27,202213,24.0,24,24.0,24,AC,Acre,Norte,2022-04-02
2022-03-20,202212,40.0,40,40.0,40,AC,Acre,Norte,2022-03-26
2022-03-13,202211,35.0,35,35.0,35,AC,Acre,Norte,2022-03-19
2022-03-06,202210,26.0,26,26.0,26,AC,Acre,Norte,2022-03-12
2022-02-27,202209,55.0,55,55.0,55,AC,Acre,Norte,2022-03-05
2022-02-20,202208,34.0,34,34.0,34,AC,Acre,Norte,2022-02-26
2022-02-13,202207,28.0,28,28.0,28,AC,Acre,Norte,2022-02-19
2022-02-06,202206,40.0,40,40.0,40,AC,Acre,Norte,2022-02-12
2022-01-30,202205,41.0,41,41.0,41,AC,Acre,Norte,2022-02-05
2022-01-23,202204,49.0,49,49.0,49,AC,Acre,Norte,2022-01-29
2022-01-16,202203,61.0,61,61.0,61,AC,Acre,Norte,2022-01-22
2022-01-09,202202,48.0,48,48.0,48,AC,Acre,Norte,2022-01-15
2022-01-02,202201,42.0,42,42.0,42,AC,Acre,Norte,2022-01-08
2023-11-05,202345,21.0,2,,1,AL,Alagoas,Nordeste,2023-11-11
2023-10-29,202344,17.0,3,,2,AL,Alagoas,Nordeste,2023-11-04
2023-10-22,202343,12.0,3,,2,AL,Alagoas,Nordeste,2023-10-28
2023-10-15,202342,11.0,4,,4,AL,Alagoas,Nordeste,2023-10-21
2023-10-08,202341,17.0,12,,12,AL,Alagoas,Nordeste,2023-10-14
2023-10-01,202340,12.0,8,,8,AL,Alagoas,Nordeste,2023-10-07
2023-09-24,202339,15.0,13,,13,AL,Alagoas,Nordeste,2023-09-30
2023-09-17,202338,10.0,8,,8,AL,Alagoas,Nordeste,2023-09-23
2023-09-10,202337,11.0,10,,10,AL,Alagoas,Nordeste,2023-09-16
2023-09-03,202336,5.0,5,,5,AL,Alagoas,Nordeste,2023-09-09
2023-08-27,202335,15.0,15,,15,AL,Alagoas,Nordeste,2023-09-02
2023-08-20,202334,13.0,13,13.0,13,AL,Alagoas,Nordeste,2023-08-26
2023-08-13,202333,13.0,13,13.0,13,AL,Alagoas,Nordeste,2023-08-19
2023-08-06,202332,11.0,11,11.0,11,AL,Alagoas,Nordeste,2023-08-12
2023-07-30,202331,9.0,9,9.0,9,AL,Alagoas,Nordeste,2023-08-05
2023-07-23,202330,15.0,15,15.0,15,AL,Alagoas,Nordeste,2023-07-29
2023-07-16,202329,26.0,26,26.0,26,AL,Alagoas,Nordeste,2023-07-22
2023-07-09,202328,20.0,20,20.0,20,AL,Alagoas,Nordeste,2023-07-15
2023-07-02,202327,43.0,43,43.0,43,AL,Alagoas,Nordeste,2023-07-08
2023-06-25,202326,62.0,62,62.0,62,AL,Alagoas,Nordeste,2023-07-01
2023-06-18,202325,34.0,34,34.0,34,AL,Alagoas,Nordeste,2023-06-24
2023-06-11,202324,52.0,52,52.0,52,AL,Alagoas,Nordeste,2023-06-17
2023-06-04,202323,84.0,84,84.0,84,AL,Alagoas,Nordeste,2023-06-10
2023-05-28,202322,58.0,58,58.0,58,AL,Alagoas,Nordeste,2023-06-03
2023-05-21,202321,63.0,63,63.0,63,AL,Alagoas,Nordeste,2023-05-27
2023-05-14,202320,49.0,49,49.0,49,AL,Alagoas,Nordeste,2023-05-20
2023-05-07,202319,65.0,65,65.0,65,AL,Alagoas,Nordeste,2023-05-13
2023-04-30,202318,98.0,98,98.0,98,AL,Alagoas,Nordeste,2023-05-06
2023-04-23,202317,75.0,75,75.0,75,AL,Alagoas,Nordeste,2023-04-29
2023-04-16,202316,83.0,83,83.0,83,AL,Alagoas,Nordeste,2023-04-22
