CD_MUN,SIGLA_UF,NM_MUN,NM_MUN_NORM,lat,long
1100015,RO,Alta Floresta D'Oeste,ALTA FLORESTA DOESTE,-12.47013227818517,-62.27466099603161
1100023,RO,Ariquemes,ARIQUEMES,-9.951890006604936,-62.957255222993844
1100031,RO,Cabixi,CABIXI,-13.474878553376353,-60.63980722013748
1100049,RO,Cacoal,CACOAL,-11.301287363290804,-61.3247287380724
1100056,RO,Cerejeiras,CEREJEIRAS,-13.203561612721657,-61.260949557620656
1100064,RO,Colorado do Oeste,COLORADO DO OESTE,-13.159153106782568,-60.55024441122719
1100072,RO,Corumbiara,CORUMBIARA,-12.926629419624062,-61.09164645723336
1100080,RO,Costa Marques,COSTA MARQUES,-12.14725010240025,-64.05877174324931
1100098,RO,Espigão D'Oeste,ESPIGAO DOESTE,-11.351342109107142,-60.78483064733634
1100106,RO,Guajará-Mirim,GUAJARAMIRIM,-11.305636314199617,-64.53755690253571
1100114,RO,Jaru,JARU,-10.592448063981317,-62.58486557944692
1100122,RO,Ji-Paraná,JIPARANA,-10.4622205323863,-61.757252672701725
1100130,RO,Machadinho D'Oeste,MACHADINHO DOESTE,-9.204091497678762,-62.01037965123399
1100148,RO,Nova Brasilândia D'Oeste,NOVA BRASILANDIA DOESTE,-11.643119014384837,-62.280237925345496
1100155,RO,Ouro Preto do Oeste,OURO PRETO DO OESTE,-10.610553002362328,-62.17253237869172
1100189,RO,Pimenta Bueno,PIMENTA BUENO,-11.89446661983039,-60.8303966675937
1100205,RO,Porto Velho,PORTO VELHO,-9.153592826551979,-64.30681433326818
1100254,RO,Presidente Médici,PRESIDENTE MEDICI,-11.166273968785362,-61.87795281636769
1100262,RO,Rio Crespo,RIO CRESPO,-9.645211562790422,-62.79007448468088
1100288,RO,Rolim de Moura,ROLIM DE MOURA,-11.732557735780821,-61.77155552903854
1100296,RO,Santa Luzia D'Oeste,SANTA LUZIA DOESTE,-12.02696778829553,-61.70109060215897
1100304,RO,Vilhena,VILHENA,-12.095621890538178,-60.248420480522306
1100320,RO,São Miguel do Guaporé,SAO MIGUEL DO GUAPORE,-11.614968866833117,-62.98324825026293
1100338,RO,Nova Mamoré,NOVA MAMORE,-10.382167457794376,-64.62909952353108
1100346,RO,Alvorada D'Oeste,ALVORADA DOESTE,-11.3114209655767,-62.544992237037846
1100379,RO,Alto Alegre dos Parecis,ALTO ALEGRE DOS PARECIS,-12.593736082130919,-61.88080742435937
1100403,RO,Alto Paraíso,ALTO PARAISO,-9.649310303810832,-63.39432225066334
1100452,RO,Buritis,BURITIS,-10.052115295145292,-63.94116273159337
1100502,RO,Novo Horizonte do Oeste,NOVO HORIZONTE DO OESTE,-11.681093911098282,-62.08320196617133
1100601,RO,Cacaulândia,CACAULANDIA,-10.331602810515609,-62.98726128630398
1100700,RO,Campo Novo de Rondônia,CAMPO NOVO DE RONDONIA,-10.484933975187493,-63.79971646599476
1100809,RO,Candeias do Jamari,CANDEIAS DO JAMARI,-8.886993889203508,-63.3256206264707
1100908,RO,Castanheiras,CASTANHEIRAS,-11.470802261579928,-61.88006979238368
1100924,RO,Chupinguaia,CHUPINGUAIA,-12.537328237135995,-60.89838404547186
1100940,RO,Cujubim,CUJUBIM,-9.171093633340757,-62.56533584234015
1101005,RO,Governador Jorge Teixeira,GOVERNADOR JORGE TEIXEIRA,-10.748029345029144,-63.184012138018964
1101104,RO,Itapuã do Oeste,ITAPUA DO OESTE,-9.170209678147105,-63.04494128568463
1101203,RO,Ministro Andreazza,MINISTRO ANDREAZZA,-11.160294268669437,-61.56896916905671
1101302,RO,Mirante da Serra,MIRANTE DA SERRA,-11.076837840006396,-62.847979331931924
1101401,RO,Monte Negro,MONTE NEGRO,-10.210832496075245,-63.372392608163935
1101435,RO,Nova União,NOVA UNIAO,-10.889344285058591,-62.5323571382093
1101450,RO,Parecis,PARECIS,-12.262326907872207,-61.41538368392302
1101468,RO,Pimenteiras do Oeste,PIMENTEIRAS DO OESTE,-13.17387596126366,-61.54530688426745
1101476,RO,Primavera de Rondônia,PRIMAVERA DE RONDONIA,-11.878685960501015,-61.3153353804454
1101484,RO,São Felipe D'Oeste,SAO FELIPE DOESTE,-11.90496797310065,-61.4670704163671
1101492,RO,São Francisco do Guaporé,SAO FRANCISCO DO GUAPORE,-12.368407632647452,-63.12214695381902
1101500,RO,Seringueiras,SERINGUEIRAS,-11.807217645501053,-63.23069906553022
1101559,RO,Teixeirópolis,TEIXEIROPOLIS,-10.94345327898465,-62.279771597398344
1101609,RO,Theobroma,THEOBROMA,-10.12176886674631,-62.34250454794528
1101708,RO,Urupá,URUPA,-11.103952818163055,-62.42441033780308
1101757,RO,Vale do Anari,VALE DO ANARI,-9.732434292084502,-61.939100669863365
1101807,RO,Vale do Paraíso,VALE DO PARAISO,-10.384256696760529,-62.094046525011336
1200013,AC,Acrelândia,ACRELANDIA,-9.933934857755926,-66.95016769820481
1200054,AC,Assis Brasil,ASSIS BRASIL,-10.779758860044756,-70.00568369859211
1200104,AC,Brasiléia,BRASILEIA,-10.747373775097047,-69.20747772500796
1200138,AC,Bujari,BUJARI,-9.614094874074947,-68.1737108690376
1200179,AC,Capixaba,CAPIXABA,-10.474233406905151,-67.83584235796926
1200203,AC,Cruzeiro do Sul,CRUZEIRO DO SUL,-7.971860231000199,-72.75480752763335
1200252,AC,Epitaciolândia,EPITACIOLANDIA,-10.889196261055469,-68.61822202793122
1200302,AC,Feijó,FEIJO,-8.924431928093483,-70.74477077624304
1200328,AC,Jordão,JORDAO,-9.242653117183274,-71.90611215398401
1200336,AC,Mâncio Lima,MANCIO LIMA,-7.504429807476787,-73.43909377702676
1200344,AC,Manoel Urbano,MANOEL URBANO,-9.381104113775699,-69.85377942694122
1200351,AC,Marechal Thaumaturgo,MARECHAL THAUMATURGO,-9.096286440292891,-72.55923165161981
1200385,AC,Plácido de Castro,PLACIDO DE CASTRO,-10.249094024690462,-67.34031893711814
1200393,AC,Porto Walter,PORTO WALTER,-8.491908530544848,-72.73355121052795
1200401,AC,Rio Branco,RIO BRANCO,-10.0661349491695,-68.37106195110408
1200427,AC,Rodrigues Alves,RODRIGUES ALVES,-7.843835282929955,-73.22344787040137
1200435,AC,Santa Rosa do Purus,SANTA ROSA DO PURUS,-9.410637702424435,-70.39578415911976
1200450,AC,Senador Guiomard,SENADOR GUIOMARD,-9.997220896303268,-67.4275936317254
1200500,AC,Sena Madureira,SENA MADUREIRA,-9.77142177018263,-69.38179517751136
1200609,AC,Tarauacá,TARAUACA,-8.239465958807747,-71.4449915268188
1200708,AC,Xapuri,XAPURI,-10.575599433718295,-68.50473327812144
1200807,AC,Porto Acre,PORTO ACRE,-9.629473706304159,-67.69848710619684
1300029,AM,Alvarães,ALVARAES,-3.694684746675708,-65.32444669841368
1300060,AM,Amaturá,AMATURA,-3.418433428321993,-68.28649946987183
1300086,AM,Anamã,ANAMA,-3.5018567870740607,-61.717987878600916
1300102,AM,Anori,ANORI,-4.198680214632754,-62.09540948403762
1300144,AM,Apuí,APUI,-7.759951480422888,-59.43210835205913
1300201,AM,Atalaia do Norte,ATALAIA DO NORTE,-5.710785341918049,-71.74091112432376
1300300,AM,Autazes,AUTAZES,-3.7872305109996387,-59.52553389665627
1300409,AM,Barcelos,BARCELOS,-0.4650992193657236,-63.43471763820549
1300508,AM,Barreirinha,BARREIRINHA,-3.12902520639055,-57.17238329795767
1300607,AM,Benjamin Constant,BENJAMIN CONSTANT,-5.425347445134057,-70.2759445128312
1300631,AM,Beruri,BERURI,-4.606232873824767,-61.80435256822395
1300680,AM,Boa Vista do Ramos,BOA VISTA DO RAMOS,-3.1378109073850426,-57.67010990902191
1300706,AM,Boca do Acre,BOCA DO ACRE,-8.773154667669615,-68.04763358775833
1300805,AM,Borba,BORBA,-4.9576174349861155,-59.53469392843407
1300839,AM,Caapiranga,CAAPIRANGA,-3.082018997536048,-61.8777578071592
1300904,AM,Canutama,CANUTAMA,-7.300758099954499,-64.06190340932076
1301001,AM,Carauari,CARAUARI,-5.11851648848198,-67.3374716380764
1301100,AM,Careiro,CAREIRO,-3.770484298743962,-60.18327327093985
1301159,AM,Careiro da Várzea,CAREIRO DA VARZEA,-3.2860120498465175,-59.59867699611914
1301209,AM,Coari,COARI,-4.436351417343804,-64.12531064640508
1301308,AM,Codajás,CODAJAS,-3.2889719656745537,-62.97331502440762
1301407,AM,Eirunepé,EIRUNEPE,-7.021998047216979,-70.21824815279244
1301506,AM,Envira,ENVIRA,-7.573304190469436,-70.05508588916071
1301605,AM,Fonte Boa,FONTE BOA,-2.4909855406731443,-66.3579242147065
1301654,AM,Guajará,GUAJARA,-7.229780929524515,-72.84458794980841
1301704,AM,Humaitá,HUMAITA,-7.36121752764476,-62.48643557568531
1301803,AM,Ipixuna,IPIXUNA,-7.1805115792357395,-71.41286686774374
1301852,AM,Iranduba,IRANDUBA,-3.095218725331638,-60.4796872188968
1301902,AM,Itacoatiara,ITACOATIARA,-3.174123473243175,-58.77534279766608
1301951,AM,Itamarati,ITAMARATI,-6.6828222402271,-68.11284121510297
1302009,AM,Itapiranga,ITAPIRANGA,-2.4972374433043902,-58.61326833892238
1302108,AM,Japurá,JAPURA,-1.6970807098089586,-68.32111769599372
1302207,AM,Juruá,JURUA,-3.524464207475711,-66.30779918675339
1302306,AM,Jutaí,JUTAI,-4.7152908524276285,-68.40630448524192
1302405,AM,Lábrea,LABREA,-8.375601480388989,-65.81166286106033
1302504,AM,Manacapuru,MANACAPURU,-3.2915381685717264,-60.9587578018521
1302553,AM,Manaquiri,MANAQUIRI,-3.7790507406852427,-60.697266062493185
1302603,AM,Manaus,MANAUS,-2.625919382624245,-60.25962801421486
1302702,AM,Manicoré,MANICORE,-6.459960113056875,-61.44677326569856
1302801,AM,Maraã,MARAA,-2.4268286433243027,-65.03955122909346
1302900,AM,Maués,MAUES,-4.984780950208547,-58.060922849253835
1303007,AM,Nhamundá,NHAMUNDA,-1.6805857923075784,-57.65624541348651
1303106,AM,Nova Olinda do Norte,NOVA OLINDA DO NORTE,-3.9895028216511568,-58.59976987094208
1303205,AM,Novo Airão,NOVO AIRAO,-2.048245987590205,-61.70342029444874
1303304,AM,Novo Aripuanã,NOVO ARIPUANA,-6.824012901575674,-60.47715479948319
1303403,AM,Parintins,PARINTINS,-2.688097965999019,-56.85464486626843
1303502,AM,Pauini,PAUINI,-7.757805439776877,-68.19714094780021
1303536,AM,Presidente Figueiredo,PRESIDENTE FIGUEIREDO,-1.3709195820204636,-59.989552767548574
1303569,AM,Rio Preto da Eva,RIO PRETO DA EVA,-2.5298229254857656,-59.638380419871794
1303601,AM,Santa Isabel do Rio Negro,SANTA ISABEL DO RIO NEGRO,-0.31836399969908946,-65.52132858040412
1303700,AM,Santo Antônio do Içá,SANTO ANTONIO DO ICA,-3.052907718943958,-69.0893525802269
1303809,AM,São Gabriel da Cachoeira,SAO GABRIEL DA CACHOEIRA,0.3744770705477498,-67.99706248616077
1303908,AM,São Paulo de Olivença,SAO PAULO DE OLIVENCA,-4.501436484946642,-69.45111858637381
