FLUA_test_result	age_group	country	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04	2023-02-11	2023-02-18	2023-02-25	2023-03-04	2023-03-11	2023-03-18	2023-03-25	2023-04-01	2023-04-08	2023-04-15	2023-04-22	2023-04-29	2023-05-06	2023-05-13	2023-05-20	2023-05-27	2023-06-03	2023-06-10	2023-06-17	2023-06-24	2023-07-01	2023-07-08	2023-07-15	2023-07-22	2023-07-29	2023-08-05	2023-08-12	2023-08-19	2023-08-26	2023-09-02	2023-09-09	2023-09-16	2023-09-23	2023-09-30	2023-10-07	2023-10-14	2023-10-21	2023-10-28	2023-11-04	2023-11-11	2023-11-18	2023-11-25	2023-12-02	2023-12-09	2023-12-16	2023-12-23	2023-12-30	2024-01-06	2024-01-13	2024-01-20	2024-01-27	2024-02-03	2024-02-10	2024-02-17	2024-02-24
Pos	0-4	Brazil	0.3726708075	0.3542757417	0.2008426966	0.1167883212	0.0576208178	0.0215053763	0.0095011876	0.0020576132	0.0033670034	0.0000000000	0.0000000000	0.0021929825	0.0019531250	0.0018281536	0.0022935780	0.0021097046	0.0058027079	0.0037807183	0.0055147059	0.0028901734	0.0015847861	0.0044117647	0.0061443932	0.0055944056	0.0035087719	0.0050675676	0.0088967972	0.0219780220	0.0099403579	0.0159151194	0.0172910663	0.0099337748	0.0240963855	0.0159453303	0.0180586907	0.0430528376	0.0666666667	0.1413551402	0.2024169184	0.2071629213	0.2229465450	0.1768158474	0.1373855121	0.0756756757	0.0681003584	0.0537190083	0.0327421555	0.0311284047	0.0317725753	0.0250481696	0.0151228733	0.0134831461	0.0207612457	0.0082644628	0.0092592593	0.0254237288	0.0188679245	0.0094936709	0.0081632653	0.0067226891	0.0154142582	0.0115384615	0.0175182482	0.0128369705	0.0305418719	0.0416666667	0.0606382979	0.0575373993	0.0789473684	0.0897867565	0.0872093023	0.0747986191	0.0915593705	0.0972716489	0.0758807588	0.0958083832	0.0787119857	0.0803738318	0.0599001664	0.0340425532	0.0366748166	0.0235988201	0.0155642023	0.0156250000	0.0031152648	0.0103806228	0.0106100796	0.0000000000	0.0182926829	0.0000000000	0.0129870130	0.0000000000	0.0078125000	0.0091743119	0.0000000000	0.0000000000	0.0000000000	0.0028901734	0.0030487805	0.0101351351	0.0135135135	0.0082304527	0.0146520147	0.0641025641	0.0756302521	0.0615384615	0.1510791367	0.0948275862	0.1045751634	0.0862068966	0.1335616438	0.1385135135	
Pos	19-29	Brazil	0.2297297297	0.1935483871	0.1185567010	0.0835327908	0.0464751958	0.0196629213	0.0114176974	0.0132669983	0.0089086860	0.0042553191	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000			0.0147058824	0.0285714286	0.0266666667	0.0444444444	0.0099009901	0.0620155039	0.0430107527	0.0869565217	0.0674157303	0.0769230769	0.1272727273	0.0545454545								0.1714285714	0.2372881356	0.2716049383	0.2278481013	0.3112244898	0.1448275862	0.1165644172	0.1349693252	0.0827586207	0.0571428571	0.0109890110	0.0169491525	0.0388349515	0.0597014925	0.0533333333	0.0750000000	0.0370370370	0.0655737705	0.0181818182	0.0181818182		0.0131578947	0.0151515152	0.0352941176	0.0108695652	0.0279720280	0.0000000000	0.0200000000	0.0310077519	0.0909090909	0.0614035088	0.0724637681	0.1260504202	0.0526315789	0.1090909091	0.0857142857	0.1270718232	0.1046511628	0.1202531646	0.1089743590	0.1006711409	0.0903225806	0.0689655172	0.0934579439	0.0373831776	0.0588235294	0.0746268657	0.0153846154	0.0000000000	0.0149253731	0.0000000000	0.0153846154	0.0192307692	0.0214285714	0.0082644628	0.0408163265	0.0091743119	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0177514793	0.0116279070	0.0232558140	0.0649350649	0.0000000000	0.0256410256	0.0989010989	0.1315789474	0.2612612613	0.1925925926	0.1149425287	0.1134020619	0.1679389313	0.2222222222	0.2944983819	
Pos	29-39	Brazil	0.2281879195	0.1636107193	0.0952380952	0.0727615457	0.0322715842	0.0151811949	0.0120481928	0.0059382423	0.0070921986	0.0146520147	0.0027322404	0.0143369176	0.0086956522	0.0082644628	0.0000000000	0.0000000000	0.0235294118	0.0088495575	0.0446428571	0.0294117647	0.0065789474	0.0338164251	0.0150000000	0.0336538462	0.0314136126	0.0702702703	0.0967741935	0.0769230769	0.0446428571	0.0270270270	0.0138888889	0.0625000000	0.1071428571	0.0322580645	0.0468750000	0.1363636364	0.1848739496	0.2171428571	0.2816326531	0.2822299652	0.2890855457	0.1904761905	0.2008196721	0.1370967742	0.0659340659	0.0786163522	0.0648648649	0.0616113744	0.0387096774	0.0602409639	0.0580645161	0.0340909091	0.0000000000	0.0571428571	0.0704225352	0.0140845070	0.0285714286	0.0370370370	0.0157480315	0.0403225806	0.0467836257	0.0351758794	0.0408163265	0.0628571429	0.0601851852	0.1192307692	0.0829694323	0.1148148148	0.1789883268	0.1357142857	0.1826923077	0.1432748538	0.1578947368	0.1491712707	0.1484848485	0.1410788382	0.1067615658	0.1390977444	0.1193415638	0.1105990783	0.0414201183	0.0559006211	0.0325203252	0.0186915888	0.0224719101	0.0169491525	0.0049504950	0.0148514851	0.0218579235	0.0000000000	0.0056179775	0.0093457944	0.0044843049	0.0199004975	0.0040160643	0.0000000000	0.0142857143	0.0095846645	0.0328947368	0.0462427746	0.0161290323	0.0571428571	0.0687500000	0.0413793103	0.0852713178	0.1612903226	0.1419753086	0.0947368421	0.0670731707	0.1352313167	0.1844380403	0.1753926702	0.3230769231
Pos	39-49	Brazil	0.2302631579	0.1407736208	0.0841121495	0.0585990121	0.0361207323	0.0125213432	0.0027100271	0.0106707317	0.0068493151	0.0050251256	0.0173010381	0.0100502513	0.0109890110	0.0000000000	0.0212765957	0.0000000000	0.0106382979	0.0196078431	0.0218978102	0.0058479532	0.0054945055	0.0329218107	0.0161943320	0.0325203252	0.0460829493	0.0314465409	0.0522875817	0.0360360360	0.0462962963	0.0746268657	0.0666666667	0.0491803279	0.0476190476	0.0789473684	0.1134020619	0.1122448980	0.2239583333	0.2474576271	0.2833333333	0.3225058005	0.2770270270	0.2247557003	0.1402877698	0.1875000000	0.0995475113	0.0569306931	0.0490196078	0.0590405904	0.0604395604	0.0763888889	0.0694444444	0.0307692308	0.0816326531	0.0886075949	0.1058823529	0.0463576159	0.0649350649	0.0720720721	0.0620155039	0.0540540541	0.0549450549	0.0132158590	0.0717703349	0.0773195876	0.1153846154	0.0891472868	0.1529411765	0.1208791209	0.1618705036	0.1574585635	0.1989795918	0.1945137157	0.1815980630	0.1915887850	0.1963350785	0.1959654179	0.1316614420	0.1719745223	0.1017543860	0.0962343096	0.0486486486	0.0781250000	0.0420168067	0.0579710145	0.0625000000	0.0236220472	0.0368663594	0.0259740260	0.0326086957	0.0111940299	0.0170212766	0.0184331797	0.0085836910	0.0000000000	0.0112359551	0.0034843206	0.0084033613	0.0100000000	0.0256410256	0.0259740260	0.0337837838	0.0510948905	0.0696202532	0.0802139037	0.0546875000	0.0989010989	0.1100000000	0.1377551020	0.1228070175	0.1526946108	0.1204188482	0.1772727273	0.0909090909
Pos	4-9	Brazil	0.5000000000	0.4571428571	0.2441077441	0.1578389831	0.1067193676	0.0340136054	0.0281250000	0.0121212121	0.0058139535	0.0147783251	0.0136363636	0.0000000000	0.0043478261	0.0074349442	0.0152671756	0.0156862745	0.0050251256	0.0138248848	0.0174672489	0.0145454545	0.0194805195	0.0465116279	0.0597484277	0.0659722222	0.0595744681	0.0450819672	0.0824372760	0.0739130435	0.0823529412	0.0419161677	0.0652173913	0.0342857143	0.0273972603	0.0954545455	0.1471861472	0.2554216867	0.3623417722	0.4826941066	0.5523763337	0.5452248610	0.5048076923	0.4200000000	0.3028455285	0.2520808561	0.1984435798	0.1588628763	0.0956937799	0.0900900901	0.0953947368	0.0766283525	0.0533333333	0.0352941176	0.0636363636	0.0375000000	0.0571428571	0.0449438202	0.0379746835	0.0394736842	0.0531561462	0.0414634146	0.0352112676	0.1040268456	0.0687022901	0.0977130977	0.1140215716	0.1323529412	0.1431226766	0.1716566866	0.2405566600	0.2106194690	0.2563176895	0.2196531792	0.2451154529	0.2343750000	0.2367906067	0.2782608696	0.1745152355	0.1899441341	0.1260744986	0.1336405530	0.0694444444	0.0413223140	0.0329670330	0.0288461538	0.0000000000	0.0133333333	0.0189873418	0.0232558140	0.0352112676	0.0318471338	0.0320855615	0.0376344086	0.0258064516	0.0241935484	0.0109890110	0.0000000000	0.0076923077	0.0052083333	0.0000000000	0.0062500000	0.0496453901	0.0479452055	0.0430107527	0.0851063830	0.0538461538	0.0918367347	0.1308411215	0.1754385965	0.2688172043	0.3129251701	0.2903225806	0.2556053812	
Pos	49-59	Brazil	0.1046511628	0.1015911873	0.0691823899	0.0640668524	0.0345125108	0.0079601990	0.0044709389	0.0025188917	0.0040650407	0.0000000000	0.0205479452	0.0000000000	0.0000000000	0.0000000000	0.0000000000		0.0000000000	0.0000000000	0.0000000000	0.0108695652	0.0100000000	0.0135135135	0.0123456790	0.0172413793	0.0438596491	0.0080645161	0.0227272727	0.0000000000	0.0333333333					0.0000000000	0.0163934426		0.1406250000	0.2500000000	0.2206896552	0.1739130435	0.2080536913	0.1557377049	0.1271186441	0.1000000000	0.0775862069	0.0330188679	0.0545454545	0.0625000000	0.0384615385	0.0697674419	0.0581395349	0.0563380282	0.0169491525	0.0000000000		0.0119047619		0.0508474576	0.0781250000	0.0000000000	0.0659340659	0.0841121495	0.1071428571	0.0826446281	0.0955882353	0.0955882353	0.1250000000	0.1484375000	0.1812080537	0.1917098446	0.2315789474	0.1878453039	0.1521739130	0.2046332046	0.1739130435	0.1513513514	0.1461988304	0.1419354839	0.0878378378	0.0884353741	0.0789473684	0.0695652174	0.0588235294	0.0303030303	0.0253164557	0.0348837209	0.0080000000	0.0063291139	0.0211267606	0.0066225166	0.0256410256	0.0129870130	0.0211267606	0.0067567568	0.0055248619	0.0121212121	0.0000000000	0.0053475936	0.0574712644	0.0283018868	0.0291262136	0.1011235955	0.0909090909	0.0689655172	0.0476190476	0.1538461538	0.1273885350	0.0827586207	0.0769230769	0.1488372093	0.1485507246	0.0858369099	
Pos	59-69	Brazil		0.1250000000	0.1023890785	0.0668135095	0.0386398764	0.0087565674	0.0070257611	0.0041666667	0.0000000000	0.0113636364	0.0076923077	0.0000000000	0.0166666667	0.0000000000				0.0000000000	0.0000000000	0.0384615385	0.0111111111	0.0212765957	0.0363636364	0.0078740157	0.0227272727	0.0319148936	0.0106382979	0.0312500000	0.0000000000		0.0000000000						0.1129032258	0.1707317073	0.2289156627	0.1686746988	0.1796875000	0.1460674157	0.0952380952	0.1100000000	0.0459770115	0.0168539326	0.0222222222	0.0000000000	0.0618556701	0.0238095238	0.0303030303	0.0000000000	0.0491803279	0.0175438596	0.0833333333	0.0263157895				0.0476190476	0.0298507463	0.0000000000	0.0365853659	0.0563380282	0.0520833333	0.0545454545	0.1041666667	0.1224489796	0.1509433962	0.1544715447	0.1197183099	0.1396648045	0.1741935484	0.1176470588	0.1315789474	0.0661764706	0.0808823529	0.0916666667	0.0851063830	0.0827067669	0.0420168067	0.0202020202	0.0384615385	0.0365853659	0.0000000000	0.0000000000	0.0263157895	0.0139860140	0.0000000000	0.0074074074	0.0074626866	0.0080000000	0.0089285714	0.0066225166	0.0065359477	0.0000000000	0.0000000000	0.0063291139	0.0000000000	0.0000000000	0.0129870130	0.0666666667	0.0927835052	0.0600000000	0.0388349515	0.0438596491	0.1376811594	0.0454545455	0.0769230769	0.0886075949	0.0887850467	0.0913978495	
Pos	69-79	Brazil		0.1535433071	0.1422413793	0.0835734870	0.0278637771	0.0173410405	0.0127118644	0.0069930070	0.0076923077	0.0000000000	0.0112359551	0.0000000000		0.0185185185					0.0172413793	0.0158730159	0.0000000000	0.0140845070	0.0181818182	0.0109890110	0.0000000000	0.0128205128	0.0312500000		0.0363636364	0.0192307692					0.0000000000		0.1206896552	0.1014492754	0.2000000000	0.2727272727	0.1818181818	0.1702127660	0.0675675676	0.0886075949	0.0389610390	0.0073529412	0.0000000000	0.0252100840	0.0400000000	0.0138888889	0.0000000000	0.0370370370	0.0147058824	0.0188679245	0.0192307692	0.0000000000		0.0188679245		0.0266666667	0.0175438596	0.0266666667	0.0246913580	0.0338983051	0.1000000000	0.1071428571	0.0602409639	0.0659340659	0.1274509804	0.0909090909	0.1391304348	0.1641791045	0.1538461538	0.0722891566	0.1721311475	0.0714285714	0.0916666667	0.1401869159	0.1083333333	0.0873786408	0.0430107527	0.0117647059	0.0500000000	0.0126582278	0.0000000000	0.0000000000	0.0000000000	0.0078740157	0.0000000000	0.0077519380	0.0134228188	0.0061349693	0.0073529412	0.0071942446	0.0000000000	0.0000000000	0.0068493151	0.0000000000	0.0000000000	0.0102040816	0.0259740260	0.0235294118	0.0619469027	0.0400000000	0.0648148148	0.0576923077	0.0756302521	0.0689655172	0.0564516129	0.1095890411	0.0703517588	0.0382513661	
Pos	80+	Brazil		0.1162790698	0.1022727273	0.0778588808	0.0271493213	0.0049261084	0.0135135135	0.0000000000	0.0000000000	0.0000000000	0.0000000000			0.0000000000				0.0000000000	0.0000000000	0.0140845070	0.0000000000	0.0181818182	0.0101010101	0.0319148936	0.0000000000	0.0000000000	0.0412371134	0.0476190476	0.0142857143	0.0000000000					0.0370370370	0.0344827586	0.0126582278		0.1470588235	0.1363636364	0.0947368421	0.1609195402	0.0821917808	0.0704225352	0.0400000000	0.0240000000	0.0000000000	0.0270270270	0.0000000000	0.0144927536	0.0000000000	0.0149253731	0.0123456790	0.0000000000	0.0384615385	0.0000000000	0.0163934426	0.0000000000	0.0166666667	0.0000000000	0.0103092784	0.0000000000	0.0113636364	0.0142857143	0.0129870130	0.0760869565	0.0927835052	0.0545454545	0.1038961039	0.1101694915	0.0991735537	0.0762711864	0.0645161290	0.1250000000	0.0676691729	0.0697674419	0.0802919708	0.0423728814	0.0180180180	0.0098039216	0.0178571429	0.0384615385	0.0000000000	0.0000000000	0.0121951220	0.0215053763	0.0000000000	0.0072992701	0.0059171598	0.0058479532	0.0000000000	0.0057471264	0.0064935065	0.0000000000	0.0056818182	0.0000000000	0.0067567568	0.0051546392	0.0129870130	0.0000000000	0.0000000000	0.0188679245	0.0593220339	0.0100000000	0.0420168067	0.0370370370	0.0303030303	0.0406504065	0.0317460317	0.0326797386	0.0514285714	0.0564102564	
Pos	9-19	Brazil	0.4000000000	0.3111239861	0.1862152358	0.1129125651	0.0678733032	0.0156250000	0.0242214533	0.0103896104	0.0155844156	0.0108108108	0.0070921986	0.0046082949	0.0000000000	0.0041666667	0.0103626943	0.0071942446	0.0243902439	0.0193548387	0.0222222222	0.0211864407	0.0395256917	0.0539568345	0.0505415162	0.1161825726	0.1258278146	0.1445086705	0.2751677852	0.2032520325	0.2111111111	0.2738095238	0.2413793103	0.1100917431	0.1272727273	0.1923076923	0.3546798030	0.4917582418	0.6284501062	0.5977528090	0.6034561164	0.5804851158	0.5278276481	0.4367541766	0.3499327052	0.2975609756	0.2281449893	0.1584507042	0.1583011583	0.0992907801	0.0625000000	0.0808823529	0.0740740741	0.1078431373	0.0307692308		0.0983606557	0.0750000000	0.1212121212	0.1166666667	0.0627802691	0.0611702128	0.0274725275	0.0808823529	0.1142857143	0.1343283582	0.1164510166	0.1239804241	0.1718061674	0.1603053435	0.2285012285	0.2488986784	0.3237113402	0.2777777778	0.2529313233	0.2276785714	0.2676579926	0.2781456954	0.1679586563	0.2162162162	0.2068965517	0.1011904762	0.1729323308	0.0388349515	0.0813953488	0.0305343511	0.0268456376	0.0171428571	0.0288461538	0.0342465753	0.0238095238	0.0060240964	0.0000000000	0.0062893082	0.0181818182	0.0188679245	0.0000000000	0.0000000000	0.0149253731	0.0000000000	0.0220588235	0.0360360360	0.0245901639	0.0392156863	0.0108695652	0.0634920635	0.1632653061	0.2589928058	0.2342342342	0.1649484536	0.1538461538	0.2443181818	0.2657894737	0.2456747405	
